ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
4,High,F,M,2,52004,N,25,5030,23,1257,125,3,2,19,0
7,High,M,M,0,19749,N,60,20222,13,10111,1011,3,3,10,0
8,Medium,M,S,1,57626,Y,44,9380,38,2345,234,5,2,15,0
9,Medium,M,M,2,20078,N,33,9650,6,2412,241,0,3,11,0
15,Low,F,M,2,28220,N,39,26492,12,13246,1324,3,1,9,1324
18,Low,M,S,2,89459,N,53,11541,22,5770,577,5,2,9,577
19,High,F,S,1,13576,N,39,14831,25,7415,741,6,5,7,0
21,Medium,F,M,1,57063,Y,52,16791,81,8395,839,20,1,6,0
25,High,F,M,2,45287,Y,29,0,0,0,0,0,0,0,0
26,Low,F,M,2,59613,N,34,12371,163,6185,618,40,2,5,618
33,High,M,S,0,3601,N,49,9570,111,2392,239,16,1,19,0
34,Low,F,M,0,72642,N,28,18661,20,9330,933,5,1,10,933
35,High,F,S,0,98716,N,56,20972,13,10486,1048,3,2,7,0
40,Low,F,M,1,77129,Y,62,24772,20,12386,1238,5,4,5,1238
42,High,M,M,1,97180,N,51,8210,45,2052,205,6,5,15,0
45,High,M,S,0,64136,Y,61,16211,125,8105,810,31,4,8,0
49,Medium,F,M,0,38538,N,12,22862,16,11431,1143,4,1,10,0
52,High,F,S,1,13109,N,63,22382,40,11191,1119,10,2,7,0
57,Low,M,M,1,13091,N,59,22792,20,11396,1139,5,1,8,1139
59,High,F,M,1,20550,Y,22,27722,57,13861,1386,14,5,7,0
62,High,F,S,2,83073,N,40,0,0,0,0,0,0,0,0
64,High,F,S,2,2842,N,46,0,0,0,0,0,0,0,0
68,High,F,S,0,7325,N,37,28522,161,14261,1426,40,3,8,0
72,Low,M,M,2,1406,Y,19,11551,15,5775,577,3,5,9,577
74,Medium,F,S,2,76231,N,64,2010,150,502,50,22,3,13,0
81,High,F,S,1,12686,N,65,23232,80,11616,1161,20,3,10,0
84,High,M,M,1,60102,N,42,9840,62,2460,246,9,1,20,0
87,Low,F,S,2,14578,Y,61,11911,95,5955,595,23,1,10,595
88,High,M,M,0,78572,Y,42,21812,29,10906,1090,7,5,8,0
89,High,F,M,2,48238,N,35,23282,168,11641,1164,42,4,6,0
90,High,F,M,0,28770,N,12,27992,16,13996,1399,4,2,5,0
98,Low,M,S,0,2056,Y,19,24072,27,12036,1203,6,3,9,1203
100,Low,M,M,1,2067,N,48,15251,70,7625,762,17,3,6,762
104,Medium,F,M,0,14932,N,52,4910,6,1227,122,0,3,14,0
109,Low,F,M,2,50561,N,52,16601,113,8300,830,28,1,9,830
111,Medium,F,M,2,194,N,42,28262,38,14131,1413,9,3,10,0
113,Low,M,M,1,65619,Y,46,13561,144,6780,678,36,5,10,678
114,Low,F,M,1,95620,Y,52,10911,93,5455,545,23,1,6,545
115,High,F,S,0,85275,N,47,22482,151,11241,1124,37,2,6,0
117,High,F,M,1,98453,Y,46,13721,11,6860,686,2,3,9,0
118,High,F,M,2,94026,Y,28,25002,10,12501,1250,2,1,10,0
120,Medium,M,M,0,77000,N,44,3930,26,982,98,3,1,13,0
128,Low,F,M,1,87404,N,63,21632,139,10816,1081,34,4,6,1081
129,Medium,M,S,2,20919,N,28,6260,153,1565,156,22,4,11,0
135,High,F,S,1,27783,N,14,4970,18,1242,124,2,4,20,0
145,High,M,S,1,16432,Y,21,20412,80,10206,1020,20,1,5,0
