,ID,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,GENDERIndex,GENDERclassVec,STATUSIndex,STATUSclassVec,HOMEOWNERIndex,HOMEOWNERclassVec,features,rawPrediction,probability,prediction,predictedLabel
0,4,F,M,2,52004,N,25,5030,23,1257,125,3,2,19,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,4.0,2.0,52004.0,25.0,5030.0,23.0,1257.0,125.0,3.0,2.0,19.0,0.0]","[16.57479900571778,0.0,3.4252009942822172]","[0.8287399502858891,0.0,0.17126004971411088]",0.0,High
1,7,M,M,0,19749,N,60,20222,13,10111,1011,3,3,10,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,7.0,0.0,19749.0,60.0,20222.0,13.0,10111.0,1011.0,3.0,3.0,10.0,0.0]","[14.814640510968507,3.59819418050445,1.5871653085270396]","[0.7407320255484253,0.1799097090252225,0.07935826542635198]",0.0,High
2,8,M,S,1,57626,Y,44,9380,38,2345,234,5,2,15,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,8.0,1.0,57626.0,44.0,9380.0,38.0,2345.0,234.0,5.0,2.0,15.0,0.0]","[13.90811860485696,0.0,6.091881395143041]","[0.6954059302428479,0.0,0.30459406975715203]",0.0,High
3,9,M,M,2,20078,N,33,9650,6,2412,241,0,3,11,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,9.0,2.0,20078.0,33.0,9650.0,6.0,2412.0,241.0,0.0,3.0,11.0,0.0]","[4.239330936035742,0.2742269984917044,15.486442065472554]","[0.21196654680178711,0.01371134992458522,0.7743221032736277]",2.0,Medium
4,15,F,M,2,28220,N,39,26492,12,13246,1324,3,1,9,1324,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,15.0,2.0,28220.0,39.0,26492.0,12.0,13246.0,1324.0,3.0,1.0,9.0,1324.0]","[1.7749062952510066,17.74067532896906,0.48441837577992986]","[0.08874531476255033,0.8870337664484531,0.024220918788996494]",1.0,Low
5,18,M,S,2,89459,N,53,11541,22,5770,577,5,2,9,577,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[0.0,0.0,1.0,1.0,18.0,2.0,89459.0,53.0,11541.0,22.0,5770.0,577.0,5.0,2.0,9.0,577.0]","[2.155188974710013,15.978718053051832,1.8660929722381565]","[0.10775944873550065,0.7989359026525916,0.09330464861190782]",1.0,Low
6,19,F,S,1,13576,N,39,14831,25,7415,741,6,5,7,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,19.0,1.0,13576.0,39.0,14831.0,25.0,7415.0,741.0,6.0,5.0,7.0,0.0]","[16.71137116897517,1.4501599766927782,1.8384688543320484]","[0.8355685584487587,0.07250799883463892,0.09192344271660244]",0.0,High
7,21,F,M,1,57063,Y,52,16791,81,8395,839,20,1,6,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,21.0,1.0,57063.0,52.0,16791.0,81.0,8395.0,839.0,20.0,1.0,6.0,0.0]","[15.749779900140236,3.0999530221878437,1.1502670776719193]","[0.7874889950070119,0.15499765110939218,0.05751335388359596]",0.0,High
8,25,F,M,2,45287,Y,29,0,0,0,0,0,0,0,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","(16,[0,1,4,5,6,7],[1.0,1.0,25.0,2.0,45287.0,29.0])","[20.0,0.0,0.0]","[1.0,0.0,0.0]",0.0,High
9,26,F,M,2,59613,N,34,12371,163,6185,618,40,2,5,618,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,26.0,2.0,59613.0,34.0,12371.0,163.0,6185.0,618.0,40.0,2.0,5.0,618.0]","[1.831907668706104,17.812522167918083,0.3555701633758124]","[0.0915953834353052,0.8906261083959042,0.01777850816879062]",1.0,Low
